match_id,world_cup_year,host_country,date,stage,round_raw,group,team1,team2,halftime_score_team1,halftime_score_team2,fulltime_score_team1,fulltime_score_team2,extra_time_score_team1,extra_time_score_team2,penalty_score_team1,penalty_score_team2,winner,result_method,stadium,city,total_goals_team1,total_goals_team2
985,2026,"Canada, Mexico, United States",13 June 2026,Group Stage,Matchday 3,Group D,Uruguay,Turkey,1,0,2,0,,,,,Australia,Normal Time,BC Place,Vancouver,2,0
986,2026,"Canada, Mexico, United States",19 June 2026,Group Stage,Matchday 9,Group D,Uruguay,Australia,2,0,2,0,,,,,USA,Normal Time,Lumen Field,Seattle,2,0
987,2026,"Canada, Mexico, United States",19 June 2026,Group Stage,Matchday 9,Group D,Uruguay,Paraguay,0,1,0,1,,,,,Paraguay,Normal Time,Levi's Stadium,Santa Clara,0,1
988,2026,"Canada, Mexico, United States",25 June 2026,Group Stage,Matchday 15,Group D,Uruguay,USA,2,1,3,2,,,,,Turkey,Normal Time,SoFi Stadium,Inglewood,3,2
989,2026,"Canada, Mexico, United States",25 June 2026,Group Stage,Matchday 15,Group D,Uruguay,Australia,0,0,0,0,,,,,Draw,Draw,Levi's Stadium,Santa Clara,0,0
990,2026,"Canada, Mexico, United States",14 June 2026,Group Stage,Matchday 4,Group E,Uruguay,Cura̤ao,3,1,7,1,,,,,Germany,Normal Time,NRG Stadium,Houston,7,1
991,2026,"Canada, Mexico, United States",14 June 2026,Group Stage,Matchday 4,Group E,Uruguay,Ecuador,0,0,1,0,,,,,Ivory Coast,Normal Time,Lincoln Financial Field,Philadelphia,1,0
992,2026,"Canada, Mexico, United States",20 June 2026,Group Stage,Matchday 10,Group E,Uruguay,Ivory Coast,0,1,2,1,,,,,Germany,Normal Time,BMO Field,Toronto,2,1
993,2026,"Canada, Mexico, United States",20 June 2026,Group Stage,Matchday 10,Group E,USA,Cura̤ao,0,0,0,0,,,,,Draw,Draw,Arrowhead Stadium,Kansas City,0,0
994,2026,"Canada, Mexico, United States",25 June 2026,Group Stage,Matchday 15,Group E,USA,Ivory Coast,0,1,0,2,,,,,Ivory Coast,Normal Time,Lincoln Financial Field,Philadelphia,0,2
995,2026,"Canada, Mexico, United States",25 June 2026,Group Stage,Matchday 15,Group E,USA,Germany,1,1,2,1,,,,,Ecuador,Normal Time,MetLife Stadium,East Rutherford,2,1
996,2026,"Canada, Mexico, United States",14 June 2026,Group Stage,Matchday 4,Group F,USA,Japan,0,0,2,2,,,,,Draw,Draw,AT&T Stadium,Arlington,2,2
997,2026,"Canada, Mexico, United States",14 June 2026,Group Stage,Matchday 4,Group F,USA,Tunisia,2,1,5,1,,,,,Sweden,Normal Time,Estadio Monterrey,Guadalupe,5,1
998,2026,"Canada, Mexico, United States",20 June 2026,Group Stage,Matchday 10,Group F,USA,Sweden,2,0,5,1,,,,,Netherlands,Normal Time,NRG Stadium,Houston,5,1
999,2026,"Canada, Mexico, United States",20 June 2026,Group Stage,Matchday 10,Group F,USA,Japan,0,2,0,4,,,,,Japan,Normal Time,Estadio Monterrey,Guadalupe,0,4
1000,2026,"Canada, Mexico, United States",25 June 2026,Group Stage,Matchday 15,Group F,USA,Sweden,0,0,1,1,,,,,Draw,Draw,AT&T Stadium,Arlington,1,1
1001,2026,"Canada, Mexico, United States",25 June 2026,Group Stage,Matchday 15,Group F,USA,Netherlands,0,2,1,3,,,,,Netherlands,Normal Time,Arrowhead Stadium,Kansas City,1,3
1002,2026,"Canada, Mexico, United States",15 June 2026,Group Stage,Matchday 5,Group G,USA,Egypt,0,1,1,1,,,,,Draw,Draw,Lumen Field,Seattle,1,1
1003,2026,"Canada, Mexico, United States",15 June 2026,Group Stage,Matchday 5,Group G,USA,New Zealand,1,1,2,2,,,,,Draw,Draw,SoFi Stadium,Inglewood,2,2
1004,2026,"Canada, Mexico, United States",21 June 2026,Group Stage,Matchday 11,Group G,USA,Iran,0,0,0,0,,,,,Draw,Draw,SoFi Stadium,Inglewood,0,0
1005,2026,"Canada, Mexico, United States",21 June 2026,Group Stage,Matchday 11,Group G,USA,Egypt,1,0,1,3,,,,,Egypt,Normal Time,BC Place,Vancouver,1,3
1006,2026,"Canada, Mexico, United States",26 June 2026,Group Stage,Matchday 16,Group G,USA,Iran,1,1,1,1,,,,,Draw,Draw,Lumen Field,Seattle,1,1
1007,2026,"Canada, Mexico, United States",26 June 2026,Group Stage,Matchday 16,Group G,USA,Belgium,0,1,1,5,,,,,Belgium,Normal Time,BC Place,Vancouver,1,5
1008,2026,"Canada, Mexico, United States",15 June 2026,Group Stage,Matchday 5,Group H,USA,Cape Verde,0,0,0,0,,,,,Draw,Draw,Mercedes-Benz Stadium,Atlanta,0,0
1009,2026,"Canada, Mexico, United States",15 June 2026,Group Stage,Matchday 5,Group H,Uzbekistan,Uruguay,1,0,1,1,,,,,Draw,Draw,Hard Rock Stadium,Miami Gardens,1,1
1010,2026,"Canada, Mexico, United States",21 June 2026,Group Stage,Matchday 11,Group H,Wales,Saudi Arabia,3,0,4,0,,,,,Spain,Normal Time,Mercedes-Benz Stadium,Atlanta,4,0
